"endstationid","endstationname","endstationlatitude","endstationlongitude"
3267,"Morris Canal",40.7124188237569,-74.03852552175522
3184,"Paulus Hook",40.7141454,-74.0335519
3213,"Van Vorst Park",40.71848892,-74.047726625
3639,"Harborside",40.7192517,-74.034234
3276,"Marin Light Rail",40.71458403535893,-74.04281705617905
3638,"Washington St",40.7242941,-74.0354826
3195,"Sip Ave",40.73089709786179,-74.06391263008118
3275,"Columbus Drive",40.71835519823214,-74.03891444206238
3214,"Essex Light Rail",40.7127742,-74.0364857
3273,"Manila & 1st",40.721650724879986,-74.04288411140442
3199,"Newport Pkwy",40.7287448,-74.0321082
3211,"Newark Ave",40.72152515,-74.046304543
3281,"Leonard Gordon Park",40.74590996631558,-74.0572714805603
3187,"Warren St",40.7211236,-74.03805095
3185,"City Hall",40.7177325,-74.043845
3269,"Brunswick & 6th",40.72601172964625,-74.05038893222809
3183,"Exchange Place",40.7162469,-74.0334588
3202,"Newport PATH",40.7272235,-74.0337589
3272,"Jersey & 3rd",40.72333158646436,-74.04595255851744
3681,"Grand St",40.71517767732029,-74.03768330812454
3186,"Grove St PATH",40.71958611647166,-74.04311746358871
3278,"Monmouth and 6th",40.72568548362901,-74.04879033565521
3481,"York St",40.71649,-74.04105
3205,"JC Medical Center",40.71653978099194,-74.0496379137039
3192,"Liberty Light Rail",40.7112423,-74.0557013
3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734
3194,"McGinley Square",40.7253399253558,-74.06762212514877
3209,"Brunswick St",40.7241765,-74.0506564
3203,"Hamilton Park",40.727595966,-74.044247311
3268,"Lafayette Park",40.71346382669195,-74.06285852193832
3677,"Glenwood Ave",40.72755146730012,-74.07106071710587
3279,"Dixon Mills",40.721630142638354,-74.04996782541275
3694,"Jackson Square",40.71113,-74.0789
3210,"Pershing Field",40.742677141,-74.051788633
3640,"Journal Square",40.73367,-74.0625
3220,"5 Corners Library",40.734961020009514,-74.0595030784607
3225,"Baldwin at Montgomery",40.7236589,-74.0641943
3193,"Lincoln Park",40.7246050998869,-74.07840594649315
3191,"Union St",40.7182113,-74.0836394
3277,"Communipaw & Berry Lane",40.71435836870427,-74.06661093235016
3201,"Dey St",40.737711,-74.066921
3198,"Heights Elevator",40.748715945380226,-74.04044330120087
3679,"Bergen Ave",40.722103786686034,-74.07145500183105
3212,"Christ Hospital",40.734785818,-74.050443636
3196,"Riverview Park",40.7443187,-74.0439909
3483,"Montgomery St",40.71942,-74.05099
3207,"Oakland Ave",40.7376037,-74.0524783
514,"12 Ave & W 40 St",40.76087502,-74.00277668
3678,"Fairmount Ave",40.72572613742557,-74.07195925712585
3280,"Astor Place",40.71928220070702,-74.07126188278198
3206,"Hilltop",40.7311689,-74.0575736
523,"W 38 St & 8 Ave",40.75466591,-73.99138152
513,"W 56 St & 10 Ave",40.768254,-73.988639
459,"W 20 St & 11 Ave",40.746745,-74.007756
3426,"JCBS Depot",40.70965083364061,-74.06860113143921
327,"Vesey Pl & River Terrace",40.7153379,-74.01658354
3195,"Sip Ave",40.73074262530658,-74.06378388404846
3188,"NJCU",40.7101087,-74.0858489
3190,"Garfield Ave Station",40.7104670233797,-74.07003879547119
3271,"Danforth Light Rail",40.69263996618329,-74.08801227807997
3541,"Amsterdam Ave & W 125 St",40.813358,-73.956461
3189,"West Side Light Rail",40.714402,-74.0887723
3200,"MLK Light Rail",40.7111305,-74.0788855
3217,"Bayside Park",40.698650544,-74.082079678
3216,"Columbia Park",40.6970299,-74.0969366
537,"Lexington Ave & E 24 St",40.74025878,-73.98409214
3274,"Bethune Center",40.704957516728605,-74.08593088388443
309,"Murray St & West St",40.7149787,-74.013012
